Inventory ,,,,,,,,,,,,,,,,,,
System Name,IP Address,System Status,Product Type,Product SubType,Product ID,Product Model,Serial Number,Serial Number (Logical),Asset Tag,Memory Size (KB),ROM Version,Operating System Name,Operating System Vendor,Server Role,Location,System Owner,System Boot Up Time,Number Of CPU
dg-enc05-oa2.win.cccis.com,eth0,9c:8e:99:2a:19:1e,,0,0,1.0 Gbps,,,255.255.255.0,,,,,,,,,
dg-enc05-oa2.win.cccis.com,eth1,9c:8e:99:2a:19:1f,,0,0,1.0 Gbps,,,255.255.254.0,,,,,,,,,
dg-enc05-oa2.win.cccis.com,udogbr,9c:8e:99:2a:19:1f,,0,0,10.0 Mbps,,,,,,,,,,,,
dg-esxi-001.win.cccis.com,Emulex Corporation HP NC553i Dual Port FlexFabric 10Gb Converged Network Adapter,00:17:A4:77:10:04,,,,1.0 Gbps,FullDuplex,0017A4771004,,,,,Ethernet CSMA/CD,OK,1000Base-SX,,,
dg-esxi-001.win.cccis.com,Device vmnic0 at 02:00.0 be2net,00:17:a4:77:10:04,,0,0,1.0 Gbps,,,,,,,,,,,,
dg-esxi-001.win.cccis.com,Device vmnic1 at 02:00.1 be2net,00:17:a4:77:10:06,,0,0,1.0 Gbps,,,,,,,,,,,,
dg-esxi-001.win.cccis.com,Emulex Corporation HP NC553i Dual Port FlexFabric 10Gb Converged Network Adapter,00:17:A4:77:10:06,,,,1.0 Gbps,FullDuplex,0017A4771006,,,,,Ethernet CSMA/CD,OK,1000Base-SX,,,
dg-esxi-001.win.cccis.com,Emulex Corporation HP NC553m Dual Port FlexFabric 10Gb Network Adapter,00:17:A4:77:10:6C,,,,1.0 Gbps,FullDuplex,0017A477106C,,,,,Ethernet CSMA/CD,OK,1000Base-SX,,,
dg-esxi-001.win.cccis.com,Device vmnic6 at 06:00.0 be2net,00:17:a4:77:10:6c,,0,0,1.0 Gbps,,,,,,,,,,,,
dg-esxi-001.win.cccis.com,Device vmnic7 at 06:00.1 be2net,00:17:a4:77:10:6e,,0,0,1.0 Gbps,,,,,,,,,,,,
dg-esxi-001.win.cccis.com,Emulex Corporation HP NC553m Dual Port FlexFabric 10Gb Network Adapter,00:17:A4:77:10:6E,,,,1.0 Gbps,FullDuplex,0017A477106E,,,,,Ethernet CSMA/CD,OK,1000Base-SX,,,
dg-esxi-001.win.cccis.com,Emulex Corporation HP NC553i Dual Port FlexFabric 10Gb Converged Network Adapter,00:17:A4:77:10:C0,,,,5.0 Gbps,FullDuplex,0017A47710C0,,,,,Ethernet CSMA/CD,OK,10GBaseT,,,
dg-esxi-001.win.cccis.com,Device vmnic2 at 02:00.4 be2net,00:17:a4:77:10:c0,,0,0,705.0327 Mbps,,,,,,,,,,,,
dg-esxi-001.win.cccis.com,Device vmnic3 at 02:00.5 be2net,00:17:a4:77:10:c2,,0,0,705.0327 Mbps,,,,,,,,,,,,
dg-esxi-001.win.cccis.com,Emulex Corporation HP NC553i Dual Port FlexFabric 10Gb Converged Network Adapter,00:17:A4:77:10:C2,,,,5.0 Gbps,FullDuplex,0017A47710C2,,,,,Ethernet CSMA/CD,OK,10GBaseT,,,
dg-esxi-001.win.cccis.com,Emulex Corporation HP NC553m Dual Port FlexFabric 10Gb Network Adapter,00:17:A4:77:10:C4,,,,5.0 Gbps,FullDuplex,0017A47710C4,,,,,Ethernet CSMA/CD,OK,10GBaseT,,,
dg-esxi-001.win.cccis.com,Device vmnic8 at 06:00.4 be2net,00:17:a4:77:10:c4,,0,0,705.0327 Mbps,,,,,,,,,,,,
dg-esxi-001.win.cccis.com,Device vmnic9 at 06:00.5 be2net,00:17:a4:77:10:c6,,0,0,705.0327 Mbps,,,,,,,,,,,,
dg-esxi-001.win.cccis.com,Emulex Corporation HP NC553m Dual Port FlexFabric 10Gb Network Adapter,00:17:A4:77:10:C6,,,,5.0 Gbps,FullDuplex,0017A47710C6,,,,,Ethernet CSMA/CD,OK,10GBaseT,,,
dg-esxi-001.win.cccis.com,Emulex Corporation HP NC553m Dual Port FlexFabric 10Gb Network Adapter,44:1E:A1:17:FE:D3,,,,0.0 bps,HalfDuplex or Unknown,441EA117FED3,,,,,Ethernet CSMA/CD,Error,Unknown,,,
dg-esxi-001.win.cccis.com,Device vmnic10 at 06:00.6 be2net,44:1e:a1:17:fe:d3,,0,0,0.0 bps,,,,,,,,,,,,
dg-esxi-001.win.cccis.com,Device vmnic11 at 06:00.7 be2net,44:1e:a1:17:fe:d7,,0,0,0.0 bps,,,,,,,,,,,,
dg-esxi-001.win.cccis.com,Emulex Corporation HP NC553m Dual Port FlexFabric 10Gb Network Adapter,44:1E:A1:17:FE:D7,,,,0.0 bps,HalfDuplex or Unknown,441EA117FED7,,,,,Ethernet CSMA/CD,Error,Unknown,,,
